question,answer
"What distinguishes Python’s code blocks from C++?","Python uses indentation instead of curly braces to define code blocks."
"How do you declare a variable in Python?","Simply assign a value (e.g., x = 5), with no need to specify type."
"What is a lambda function in Python?","An anonymous function defined with the lambda keyword."
"How do you include libraries in C++?","By using the #include <library> directive."
"What’s the difference between new and malloc() in C++?","new allocates memory and calls the constructor, while malloc() only allocates memory."
"How does Python handle exceptions?","Using try, except, and optionally finally blocks."
"What is list comprehension in Python?","A concise way to create lists in one line (e.g., [x*2 for x in range(5)])."
"How do you declare a constant in C++?","Use the const keyword (e.g., const int MAX = 100;)."
"What is Git used for?","Version control for tracking changes in code."
"What is a commit in Git?","A snapshot of your code changes."
"How do you create a branch in Git?","Using git branch <branch-name>."
"What is a pull request?","A request to merge changes from one branch into another."
"What is an API?","A set of rules for interacting with software components."
"What is a RESTful API?","An API that adheres to REST principles for communication over HTTP."
"What is JSON?","JavaScript Object Notation, a lightweight data interchange format."
"What is SQL used for?","Managing and querying relational databases."
"What is the difference between == and === in JavaScript?","== checks for value equality, while === checks for both value and type."
"What is recursion in programming?","When a function calls itself to solve smaller instances of a problem."
"What is object-oriented programming (OOP)?","A paradigm where data and functions are bundled into objects."
"What is encapsulation in OOP?","Hiding an object's internal state and requiring all interaction through methods."
"What is inheritance in OOP?","A mechanism where a new class derives properties and behaviors from an existing class."
"What is polymorphism in OOP?","The ability to treat different classes through a common interface."
"What is agile development?","An iterative, collaborative approach to software development."
"What is microservice architecture?","Structuring an application as a collection of loosely coupled services."
"What is containerization in software development?","Packaging software into containers (e.g., Docker) to run consistently across environments."
"What is the time complexity of binary search?","O(log n)."
"What data structure follows LIFO order?","A stack."
"What is a hash table used for?","Providing constant average-time lookup, insertion, and deletion."
"How does a linked list differ from an array?","A linked list uses nodes and pointers, while an array uses contiguous memory."
"What is a tree in data structures?","A hierarchical structure with nodes connected by edges."
"What is the purpose of a queue?","To follow FIFO (first in, first out) ordering."
"What is recursion?","A function that calls itself to solve smaller subproblems."
"What is dynamic programming?","A technique to solve problems by breaking them into overlapping subproblems and caching results."
"What is a confusion matrix used for?","Evaluating the performance of a classification model."
"What is k-means clustering?","A method to partition data into k clusters based on similarity."
"What is overfitting in machine learning?","When a model learns noise in the training data, reducing its ability to generalize."
"How can you prevent overfitting?","By using techniques like regularization, dropout, and cross-validation."
"What is a neural network?","A computational model inspired by the human brain, composed of interconnected neurons."
"What does CNN stand for and what is it used for?","Convolutional Neural Network; used primarily for image recognition."
"What is the difference between supervised and unsupervised learning?","Supervised learning uses labeled data, whereas unsupervised learning does not."
"What is reinforcement learning?","A method where an agent learns by receiving rewards or penalties for its actions."
"What is the role of an activation function in a neural network?","It introduces non-linearity into the model to help learn complex patterns."
"What is gradient descent?","An optimization algorithm used to minimize the cost function by updating model parameters."
"What is backpropagation?","The algorithm for propagating the error backward through the network to update weights."
"What is a loss function?","A function that quantifies the difference between predicted and actual outcomes."
"What is transfer learning?","Reusing a pre-trained model on a new, related problem to save time and resources."
"What does ML stand for?","Machine Learning."
"What does DL stand for?","Deep Learning, a subset of ML that uses deep neural networks."
"What is ensemble learning?","Combining multiple models to improve overall performance."
"What is a decision tree?","A model that splits data based on features to make predictions."
"What is EDA?","Exploratory Data Analysis, which involves summarizing the main characteristics of a dataset."
"Which Python library is commonly used for data manipulation?","Pandas."
"Which Python library is used for numerical computations?","NumPy."
"What is data visualization?","Graphically representing data to identify trends, patterns, and outliers."
"Which libraries are popular for data visualization in Python?","Matplotlib and Seaborn."
"What is a DataFrame?","A 2-dimensional labeled data structure in Pandas."
"What is feature scaling?","Standardizing the range of independent variables or features."
"What does PCA stand for?","Principal Component Analysis, a technique for reducing dimensionality."
"What is cross-validation?","A method to assess how a model will generalize to an independent dataset."
"What is a time series?","A sequence of data points indexed in time order."
"Why is data cleaning important?","To remove inaccuracies and inconsistencies, ensuring higher data quality for analysis."
"What is the difference between a list and a tuple in Python?","Lists are mutable, whereas tuples are immutable."
"How does a dictionary differ from a set in Python?","A dictionary stores key–value pairs; a set stores unique elements."
"What does Python’s range() function return?","It returns a range object representing an immutable sequence of numbers."
"What is the purpose of the pass keyword in Python?","It acts as a placeholder and does nothing."
"How is dynamic typing handled in Python?","Variable types are determined at runtime without explicit declaration."
"Does Python support multiple inheritance?","Yes, Python allows a class to inherit from multiple parent classes."
"In C++, what does the -> operator do?","It accesses members of an object through a pointer."
"What is function overloading in C++?","Defining multiple functions with the same name but different parameters."
"How is operator overloading used in C++?","It lets you redefine operators for user-defined types."
"What is a key feature of JavaScript arrays?","They are dynamic and can store elements of different types."
"How are objects structured in JavaScript?","As collections of key–value pairs."
"What inheritance model does JavaScript use?","Prototypal inheritance."
"In Python, what does the keyword self represent?","It refers to the current instance of a class."
"What is the role of __init__ in Python classes?","It is the constructor method for initializing new objects."
"How do decorators work in Python?","They modify or extend a function’s behavior without changing its code."
"Which C++ container is used for dynamic arrays?","std::vector."
"What are smart pointers in C++ used for?","They help manage dynamic memory and prevent leaks."
"What does the JavaScript keyword let provide?","Block-scoped variable declaration."
"How does const differ from let in JavaScript?","const creates a binding that cannot be reassigned."
"What is list slicing in Python?","A method to extract a part of a list using a start:stop:step syntax."
"What is RAII in C++?","Resource Acquisition Is Initialization—a technique to manage resources via object lifetimes."
"What are destructors in C++?","Functions automatically called to clean up an object when it goes out of scope."
"How is the this keyword used in JavaScript?","It refers to the context object of the current function."
"What does the __str__ method do in Python?","It returns a human-readable string representation of an object."
"How does Python handle exceptions?","Using try, except, and optionally finally blocks."
"How are exceptions caught in C++?","With try-catch blocks."
"How does JavaScript handle asynchronous operations initially?","Using callbacks."
"What modern syntax simplifies asynchronous code in JavaScript?","The async/await syntax."
"Does Python have built-in regular expression support?","Yes, via the re module."
"What does the C++ Standard Template Library (STL) provide?","A collection of common data structures and algorithms."
"What is JavaScript primarily used for?","Web development on both client and server sides."
"For what purposes is Python widely used?","Data science, scripting, web development, and automation."
"In which scenarios is C++ most effective?","Performance-critical applications and systems programming."
"How does Node.js extend JavaScript’s usability?","It allows running JavaScript on the server side."
"What does Python’s import statement do?","It loads modules into your program."
"How are declarations typically handled in C++?","Through header files."
"What module syntax does JavaScript use in ES6?","import and export statements."
"What are Python virtual environments used for?","Isolating project dependencies."
