question,answer
"What is the scientific method?","A systematic process for observing, hypothesizing, experimenting, and drawing conclusions."
"What is a hypothesis?","A proposed explanation for a phenomenon, to be tested through experimentation."
"Why is critical thinking important?","It enables informed decision-making and effective problem solving."
"What is an ecosystem?","A community of living organisms interacting with each other and their environment."
"What does biodiversity refer to?","The variety of life forms in an ecosystem."
"What is climate change?","Long-term alterations in temperature and weather patterns on Earth."
"What is photosynthesis?","The process by which plants convert sunlight, water, and CO₂ into energy."
"What is gravity?","The force of attraction between objects with mass."
"What is Newton’s second law of motion?","It states that Force equals mass times acceleration (F = ma)."
"Why is the periodic table important?","It organizes chemical elements by properties, aiding in the study of chemistry."
"What is DNA?","The molecule that carries genetic instructions in living organisms."
"What is evolution?","The process by which species adapt and change over time through natural selection."
"How does the brain contribute to learning?","It processes and stores information, enabling memory formation."
"What is basic arithmetic?","The foundational math operations: addition, subtraction, multiplication, and division."
"What is geometry?","A branch of mathematics dealing with shapes, sizes, and properties of space."
"What is literature?","Written works that express ideas, often considered for their artistic merit."
"What is history?","The study of past events and human affairs."
"What is geography?","The study of Earth’s physical features and human-environment interactions."
"What is economics?","The study of production, distribution, and consumption of goods and services."
"What is sociology?","The study of society, social relationships, and human behavior."
"What is the capital of Brazil?","Brasília."
"What is the largest planet in our solar system?","Jupiter."
"What gas do humans primarily breathe?","Oxygen."
"What is the boiling point of water in Fahrenheit?","212°F."
"What is the freezing point of water in Celsius?","0°C."
"What is an atom?","The smallest unit of matter that retains the properties of an element."
"What is the main source of energy for Earth?","The Sun."
"What is a volcano?","A mountain or hill with an opening through which lava, ash, and gases erupt."
"What is the largest ocean on Earth?","The Pacific Ocean."
"What is the tallest mountain in the world?","Mount Everest."
"What is the primary language spoken in Spain?","Spanish."
"What is the currency of Japan?","Yen."
"What year did World War II end?","1945."
"Who discovered penicillin?","Alexander Fleming."
"What is the capital of Canada?","Ottawa."
"What is the smallest country by land area?","Vatican City."
"What is the longest river in the world?","The Nile River."
"What is the primary source of Earth’s oxygen?","Photosynthesis by plants and algae."
"What is a mammal?","A warm-blooded animal with hair or fur that produces milk for its young."
"What is the speed of light?","Approximately 299,792 kilometers per second."
"What is an earthquake?","A sudden shaking of the Earth’s surface caused by tectonic plate movement."
"What is the capital of India?","New Delhi."
"What is the largest desert in the world?","The Sahara Desert."
"What is the primary function of the heart?","To pump blood throughout the body."
"What is the chemical symbol for gold?","Au."
"What is the capital of Russia?","Moscow."
"What year was the United States founded?","1776."
"Who invented the telephone?","Alexander Graham Bell."
"What is the capital of Australia?","Canberra."
"What is the largest continent by land area?","Asia."
"What is the primary source of Earth’s freshwater?","Glaciers and ice caps."
"What is a reptile?","A cold-blooded vertebrate with scales, like snakes or lizards."
"What is the capital of Egypt?","Cairo."
"What is the largest animal on Earth?","The blue whale."
"What is the capital of China?","Beijing."
"What is the primary function of the lungs?","To exchange oxygen and carbon dioxide during breathing."
"What is the chemical symbol for oxygen?","O."
"What is the capital of South Africa?","Pretoria (administrative), Cape Town (legislative), Bloemfontein (judicial)."
"What year did the Titanic sink?","1912."
"Who was the first person to walk on the moon?","Neil Armstrong."
"What is the capital of Mexico?","Mexico City."
"What is the smallest planet in our solar system?","Mercury."
"What is the primary source of energy for cars?","Gasoline or electricity."
"What is a bird?","A warm-blooded vertebrate with feathers and wings."
